,Dirección,Longitud,Latitud,Cantidad de accidentes
304,RIVADAVIA AV. 6950,-58.46325991,-34.62919627,1
305,SAN MARTIN AV. y ARGERICH,-58.49471482,-34.59694755,1
306,"CORDOBA AV. y URIBURU JOSE E., PRES.",-58.39872610,-34.59975962,1
307,RIVADAVIA AV. 1571,-58.38872177,-34.60885045,1
308,"FREIRE, RAMON, CAP. GRAL. y OLAGUER Y FELIU, VIRREY",-58.45686132,-34.57305993,1
309,"LA PLATA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",-58.42281627,-34.64282424,1
310,BRANDSEN y PERDRIEL,-58.38666024,-34.63953396,1
311,"VILARDEBO, TEODORO y ALVAREZ JONTE AV.",-58.49122843,-34.61207587,1
312,ALBERTI e INDEPENDENCIA AV.,-58.40098306,-34.61866627,1
313,ALVAREZ THOMAS AV. 879,-58.45448963,-34.57916920,1
314,"PAZ, GRAL. AV. y RIVADAVIA AV.",-58.52927982,-34.63931752,2
315,CORRIENTES AV. y DORREGO AV.,-58.44759966,-34.59170240,2
316,RIVADAVIA AV. y PEDERNERA,-58.46411215,-34.62925068,2
317,QUESADA 2300,-58.46213220,-34.55395823,1
318,CABILDO AV. y JURAMENTO AV.,-58.45669422,-34.56203610,1
319,"CALIFORNIA y CARBONARI, FRANCISCO, CMTE.",-58.35977160,-34.64341878,1
320,"CARRIL, SALVADOR MARIA DEL AV. y NAZCA",-58.49820145,-34.59070093,1
321,SAN LUIS y AGUERO,-58.41059280,-34.59939180,1
322,LUGONES 2430,-58.47969138,-34.57121563,1
323,INDEPENDENCIA AV. y JUJUY AV.,-58.40351561,-34.61883916,1
324,RIVADAVIA AV. 11050,-58.51973844,-34.63918987,1
